E_eV,E_minus_Ef,total_dos,Li,P,S,Cl,O,Nd
-41.2260,-45.0570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2160,-45.0470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2060,-45.0370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1960,-45.0270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1860,-45.0170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1760,-45.0070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1660,-44.9970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1560,-44.9870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1460,-44.9770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1360,-44.9670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1260,-44.9570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1160,-44.9470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.1060,-44.9370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0960,-44.9270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0860,-44.9170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0760,-44.9070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0660,-44.8970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0560,-44.8870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0460,-44.8770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0360,-44.8670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0260,-44.8570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0160,-44.8470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.0060,-44.8370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9960,-44.8270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9860,-44.8170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9760,-44.8070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9660,-44.7970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9560,-44.7870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9460,-44.7770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9360,-44.7670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9260,-44.7570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9160,-44.7470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.9060,-44.7370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8960,-44.7270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8860,-44.7170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8760,-44.7070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8660,-44.6970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8560,-44.6870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8460,-44.6770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8360,-44.6670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8260,-44.6570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8160,-44.6470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.8060,-44.6370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7960,-44.6270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7860,-44.6170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7760,-44.6070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7660,-44.5970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7560,-44.5870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7460,-44.5770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7360,-44.5670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7260,-44.5570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
